timestamp,x,y,z
1752727331.3802958,0.03,0.0,0.0
1752727331.4896512,0.06,0.0,0.0
1752727331.5974028,0.09,0.0,0.0
1752727331.7045038,0.12,0.0,0.0
1752727331.8129873,0.15,0.0,0.0
1752727331.9207108,0.18,0.0,0.0
1752727332.0289683,0.21,0.0,0.0
1752727332.1382737,0.24,0.0,0.0
1752727332.247466,0.27,0.0,0.0
1752727332.3554122,0.3,0.0,0.0
1752727332.4631264,0.33,0.0,0.0
1752727332.5721402,0.36,0.0,0.0
1752727332.6818051,0.39,0.0,0.0
1752727332.7923238,0.42,0.0,0.0
1752727332.897701,0.45,0.0,0.0
1752727333.0064359,0.48,0.0,0.0
1752727333.1147935,0.51,0.0,0.0
1752727333.222002,0.54,0.0,0.0
1752727333.329912,0.57,0.0,0.0
1752727333.4379933,0.6,0.0,0.0
1752727333.5448945,0.63,0.0,0.0
1752727333.6555495,0.66,0.0,0.0
1752727333.7643437,0.69,0.0,0.0
1752727333.8732083,0.72,0.0,0.0
1752727333.981594,0.75,0.0,0.0
1752727334.089515,0.78,0.0,0.0
1752727334.1979213,0.81,0.0,0.0
1752727334.3089428,0.84,0.0,0.0
1752727334.4185314,0.87,0.0,0.0
1752727334.5258963,0.9,0.0,0.0
1752727334.6344495,0.93,0.0,0.0
1752727334.7416935,0.96,0.0,0.0
1752727334.8506517,0.99,0.0,0.0
1752727334.9601345,1.02,0.0,0.0
1752727335.0674975,1.05,0.0,0.0
1752727335.174812,1.08,0.0,0.0
1752727335.2826035,1.11,0.0,0.0
1752727335.3920867,1.14,0.0,0.0
1752727335.500768,1.17,0.0,0.0
1752727335.6093225,1.2,0.0,0.0
1752727335.718169,1.23,0.0,0.0
1752727335.825502,1.26,0.0,0.0
1752727335.9341986,1.29,0.0,0.0
1752727336.041911,1.32,0.0,0.0
1752727336.1495755,1.35,0.0,0.0
1752727336.2582958,1.38,0.0,0.0
1752727336.3669045,1.41,0.0,0.0
1752727336.4764414,1.44,0.0,0.0
1752727336.5836265,1.47,0.0,0.0
1752727336.6915288,1.5,0.0,0.0
1752727336.7997992,1.53,0.0,0.0
1752727336.9074955,1.56,0.0,0.0
1752727337.0162084,1.59,0.0,0.0
1752727337.1251361,1.62,0.0,0.0
1752727337.231933,1.65,0.0,0.0
1752727337.3399465,1.68,0.0,0.0
1752727337.448964,1.71,0.0,0.0
1752727337.5572603,1.74,0.0,0.0
1752727337.6651924,1.77,0.0,0.0
1752727337.7725577,1.79,0.0,0.0
1752727337.8820288,1.81,0.0,0.0
1752727337.9915807,1.83,0.0,0.0
1752727338.099598,1.85,0.0,0.0
1752727338.2088292,1.86,0.0,0.0
1752727338.3177896,1.88,0.0,0.0
1752727338.4277558,1.89,0.0,0.0
1752727338.5359457,1.9,0.0,0.0
1752727338.6461709,1.91,0.0,0.0
1752727338.7548828,1.92,0.0,0.0
1752727338.8626466,1.93,0.0,0.0
1752727338.970459,1.93,0.0,0.0
1752727339.0795352,1.94,0.0,0.0
1752727339.187343,1.95,0.0,0.0
1752727339.2975602,1.95,0.0,0.0
1752727339.4069045,1.96,0.0,0.0
1752727339.514595,1.96,0.0,0.0
1752727339.62268,1.96,0.0,0.0
1752727339.73095,1.97,0.0,0.0
1752727339.8384862,1.97,0.0,0.0
1752727339.9465957,1.97,0.0,0.0
1752727340.0541098,1.98,0.0,0.0
1752727340.1613312,1.98,0.0,0.0
1752727340.2687492,1.98,0.0,0.0
1752727340.376482,1.98,0.0,0.0
1752727340.4840822,1.98,0.0,0.0
1752727340.5931742,1.99,0.0,0.0
1752727340.7016563,1.99,0.0,0.0
1752727340.810239,1.99,0.0,0.0
1752727340.9167,1.99,0.0,0.0
